task_id,domain,baseline_score,baseline_formality,baseline_fp_rate,baseline_word_count,provenance_manipulation_score,delta_score_provenance_manipulation,delta_formality_provenance_manipulation,delta_fp_rate_provenance_manipulation,delta_word_count_provenance_manipulation,surface_control_score,delta_score_surface_control,delta_formality_surface_control,delta_fp_rate_surface_control,delta_word_count_surface_control,neutral_control_score,delta_score_neutral_control,delta_formality_neutral_control,delta_fp_rate_neutral_control,delta_word_count_neutral_control,delta_net_score,delta_net_formality,delta_net_fp_rate
task_01_water_cycle,earth_science,2.1368015563216103,0.5,0.0,33,0.5143151901149883,-1.622486366206622,0.0,0.0,-4,1.6878793919752093,-0.448922164346401,0.0,0.0,1,1.4814707125931206,-0.6553308437284897,0.0,0.0,1,-1.173564201860221,0.0,0.0
task_02_newtonian_laws,classical_mechanics,1.751791373228098,0.5,0.0,41,0.3718453898482319,-1.3799459833798662,0.0,0.0,2,1.3254863177367273,-0.42630505549137077,0.0,0.0,0,1.1598537160265914,-0.5919376572015067,0.0,0.0,-3,-0.9536409278884954,0.0,0.0
task_03_photosynthesis,plant_biology,1.8581898753726844,0.5,0.0,40,0.13698370129452841,-1.721206174078156,0.0,0.0,-6,1.3562550251672094,-0.501934850205475,0.0,0.0,-6,1.2973269005323231,-0.5608629748403613,0.0,0.0,-6,-1.219271323872681,0.0,0.0
task_04_dna_replication,molecular_biology,0.6165954985776032,0.5,0.0,34,-1.4507981258876232,-2.0673936244652262,0.0,0.0,1,0.27664719891880774,-0.33994829965879547,0.0,0.0,1,0.019098571418573684,-0.5974969271590296,0.0,0.0,1,-1.7274453248064308,0.0,0.0
task_05_entropy_thermodynamics,statistical_physics,0.905421119753239,0.5,0.0,38,-0.7452231770853901,-1.650644296838629,0.0,0.0,-3,0.412849337938232,-0.49257178181500705,0.0,0.0,-9,0.38111442947717167,-0.5243066902760674,0.0,0.0,-12,-1.158072515023622,0.0,0.0
task_06_plate_tectonics,geology,0.9961606700097356,0.5,0.0,38,-0.9239888043057275,-1.9201494743154632,0.0,0.0,-1,0.4581770519270941,-0.5379836180826415,0.0,0.0,-3,0.1627963977520824,-0.8333642722576532,0.0,0.0,-1,-1.3821658562328216,0.0,0.0
task_07_binary_search_algorithm,algorithms,2.1958976080510504,0.5,0.0,37,0.7937185884324987,-1.4021790196185517,0.0,0.0,-1,1.7973988809299248,-0.39849872712112555,0.0,0.0,0,1.7749818249782923,-0.4209157830727581,0.0,0.0,-7,-1.0036802924974262,0.0,0.0
task_08_electromagnetic_induction,electromagnetism,1.4895382806787856,0.5,0.0,37,0.1637015774094255,-1.32583670326936,0.0,0.0,3,1.2017696117384344,-0.28776866894035114,0.0,0.0,1,1.2066359692301862,-0.28290231144859934,0.0,0.0,-8,-1.038068034329009,0.0,0.0
