condition,N,mean_delta,median_delta,std_delta,mean_abs_delta,median_abs_delta,ci_95_lower,ci_95_upper,cohens_dz,pct_positive,pct_negative,p_val_wilcoxon,p_val_ttest
persona,30,-0.5043798049409121,-0.49275683557858957,0.14954322889500232,0.5043798049409121,0.49275683557858957,-0.5562354933294229,-0.4510909825065421,-3.372802691688893,0.0,100.0,1.862645149230957e-09,1.395437019118859e-17
length,30,-1.3842910112307998,-1.4476092877702187,0.37605486533052535,1.3842910112307998,1.4476092877702187,-1.5194013314404415,-1.2535701642501715,-3.6810878912950824,0.0,100.0,1.862645149230957e-09,1.3189634529087514e-18
format,30,-1.222078545005018,-1.1879817793398164,0.48566115395950804,1.222078545005018,1.1879817793398164,-1.4100649991339151,-1.0418208675899776,-2.516319320665512,0.0,100.0,1.862645149230957e-09,2.9196770140835696e-14
lexical,30,-0.3171622515897495,-0.383865602891545,0.5259149021499132,0.5380080298953787,0.5197468717124714,-0.5048734644101874,-0.13311989269946975,-0.6030676261372446,26.666666666666668,73.33333333333333,0.004031794145703316,0.0025462085376534824
context,30,-0.62656572524482,-0.6862869778166457,0.1549251598759737,0.62656572524482,0.6862869778166457,-0.6793275399282399,-0.5669946785134705,-4.044312271463339,0.0,100.0,1.862645149230957e-09,1.0117497396759133e-19
