manipulation_type,n_pairs,mean_abs_delta,signed_mean_delta,cohens_dz,ci_95,p_value_wilcoxon
length_control,4,1.2348097039823713,-1.2238268352988115,-1.1842612865324573,"[-2.0373, -0.4103]",0.25
format_control,4,1.3580838076893562,-1.3580838076893562,-1.6954726182854525,"[-2.0274, -0.6887]",0.125
lexical_control,2,1.181924182167249,-1.181924182167249,-7.495347181547898,"[-1.2934, -1.0704]",0.5
neutral_context_control,2,0.8781635692179908,-0.8781635692179908,-21.494544251428206,"[-0.9071, -0.8493]",0.5
positive_persona_control,2,0.3915629319973581,0.3915629319973581,1.7179665273744595,"[0.2304, 0.5527]",0.5
negative_surface_control,1,0.9830974287689691,-0.9830974287689691,0.0,"[-0.9831, -0.9831]",1.0
