control_type,n_pairs,mean_delta,median_delta,std_delta,mean_abs_delta,cohens_dz,ci_95_lower,ci_95_upper,p_val_wilcoxon,p_val_ttest
length_control,4,-1.2238268352988115,-1.2887738913843763,1.0334094757772612,1.2348097039823713,-1.1842612865324573,-2.0373360917926258,-0.41031757880499714,0.25,0.09863573125669323
format_control,4,-1.3580838076893562,-1.2778389868846036,0.8010060398750167,1.3580838076893562,-1.6954726182854525,-2.0274352275243,-0.6887323878544127,0.125,0.042745105731492
lexical_control,2,-1.181924182167249,-1.181924182167249,0.15768771659796077,1.181924182167249,-7.495347181547898,-1.2934262358834896,-1.0704221284510085,0.5,0.0598811202559093
neutral_context_control,2,-0.8781635692179908,-0.8781635692179908,0.040855184410790245,0.8781635692179908,-21.494544251428206,-0.9070525471614875,-0.8492745912744941,0.5,0.020935353124213758
positive_persona_control,2,0.3915629319973581,0.3915629319973581,0.2279223289616576,0.3915629319973581,1.7179665273744595,0.23039750760473895,0.5527283563899772,0.5,0.2485758963224886
negative_surface_control,1,-0.9830974287689691,-0.9830974287689691,0.0,0.9830974287689691,0.0,-0.9830974287689691,-0.9830974287689691,1.0,1.0
